SS,Site,Depth,Depth,Tide,Tide
SS,Site,Min,Max,Min,Max
A-09.3,0060_ZA04,1.0,9.0,-0.34,0.29
A-09.3,0060_ZA18,1.0,9.0,-0.34,0.31
A-09.3,0062_ZA04,0.7,6.5,-0.34,0.29
A-09.3,0062_ZA18,0.7,6.6,-0.34,0.31
A-09.3,0067_ZA04,1.5,12.0,-0.34,0.29
A-09.3,0067_ZA18,1.5,12.0,-0.34,0.31
A-09.3,0070_ZA18,4.7,5.5,-0.34,0.31
A-09.3,0077_ZA18,4.4,6.9,-0.34,0.31
A-09.3,0078_ZA18,0.6,3.1,-0.34,0.31
A-09.3,0079_ZA18,3.8,6.6,-0.34,0.31
A-09.4,0001,0.2,1.4,-0.33,0.30
A-09.4,0002,0.5,0.5,-0.33,0.30
A-09.4,0003,0.3,1.1,-0.33,0.30
A-09.4,0004,0.3,0.4,-0.33,0.30
A-09.4,0005,0.2,0.8,-0.33,0.30
A-09.4,0007,0.7,0.7,-0.33,0.30
A-09.4,0008,0.4,1.0,-0.33,0.30
A-09.5,0001_ZA00PC3,0.5,1.6,-0.52,0.38
A-09.5,0002_ZA00PC3,8.5,10.6,-0.52,0.38
A-09.5,0003_ZA00PC3,0.5,2.0,-0.52,0.38
A-09.5,0004_ZA00PC3,5.5,6.5,-0.52,0.38
A-09.5,0012_ZA00PC3,6.0,7.0,-0.52,0.38
A-09.5,0024_ZA00PC3,6.2,7.9,-0.52,0.38
A-09.5,0030_ZA00PC3,5.0,5.9,-0.52,0.38
A-09.5,0051_ZA00PC3,0.8,2.4,-0.52,0.38
A-09.5,0074_ZA00PC3,4.1,5.1,-0.52,0.38
A-09.5,0075_ZA00PC3,6.9,7.9,-0.52,0.38
A-09.5,0076_ZA00PC3,6.8,8.3,-0.52,0.38
A-09.5,0085,1.3,4.3,-0.52,0.38
A-09.5,0086,0.5,2.2,-0.52,0.38
A-09.5,0087,0.5,1.7,-0.52,0.38
A-09.5.1E,0020_ZA00PC3,6.1,7.2,-0.52,0.38
A-09.5.1E,0028_ZA00PC3,5.2,6.1,-0.52,0.38
A-09.5.1E,0028_ZA00PC3,5.2,6.1,-0.52,0.38
A-09.5.1E,0032_ZA00PC3,6.1,7.0,-0.52,0.38
A-09.5.1E,0033_ZA00PC3,5.3,6.6,-0.52,0.38
A-09.5.1E,0033_ZA00PC3,5.3,6.6,-0.52,0.38
A-09.5.1E,0034_ZA00PC3,4.6,6.0,-0.52,0.38
A-09.5.1E,0035_ZA00PC3,5.2,6.3,-0.52,0.38
A-09.5.1E,0035_ZA00PC3,5.2,6.3,-0.52,0.38
A-09.5.1E,0036_ZA00PC3,5.4,6.3,-0.52,0.38
A-09.5.1E,0037_ZA00PC3,5.3,12.2,-0.52,0.38
A-09.5.1E,0037_ZA00PC3,5.3,12.2,-0.52,0.38
A-09.5.1E,0037_ZA02,5.9,6.2,-0.51,0.37
A-09.5.1E,0038_ZA00PC3,6.1,7.1,-0.52,0.38
A-09.5.1E,0039_ZA00PC3,6.2,8.1,-0.52,0.38
A-09.5.1E,0039_ZA00PC3,6.2,8.1,-0.52,0.38
A-09.5.1E,0040_ZA00PC3,4.0,8.7,-0.52,0.38
A-09.5.1E,0041_ZA00PC3,5.3,6.7,-0.52,0.38
A-09.5.1E,0041_ZA00PC3,5.3,6.7,-0.52,0.38
A-09.5.1E,0041_ZA02,5.5,6.5,-0.51,0.37
A-09.5.1E,0042_ZA00PC3,5.4,6.2,-0.52,0.38
A-09.5.1E,0098,5.6,6.1,-0.50,0.37
A-09.5.2E,0081,5.8,7.0,-0.33,0.32
A-09.5.2E,0082,5.1,6.2,-0.33,0.32
A-09.5.2E,0083,5.0,6.0,-0.33,0.32
A-09.5.2E,0084,6.0,7.4,-0.33,0.32
A-09.5.2E,0099_ZA00PC3,4.9,5.9,-0.34,0.32
A-09.5.3E,0077_ZA00PC3,6.1,7.0,-0.52,0.38
A-09.5.3E,0078_ZA00PC3,5.7,7.0,-0.52,0.38
A-09.5.3E,0079_ZA00PC3,5.9,7.0,-0.52,0.38
A-09.5.3E,0080_ZA00PC3,5.9,6.8,-0.52,0.38
A-10.1.1,0022,0.4,7.0,-0.33,0.31
A-10.1.1,0023,0.2,1.3,-0.33,0.31
A-10.1.1,0029,0.3,1.0,-0.33,0.31
A-10.1.1,0030,0.4,1.0,-0.33,0.31
A-10.1.2,0017,0.6,1.6,-0.33,0.31
A-10.1.2,0018,0.6,1.6,-0.33,0.31
A-10.1.2,0021,0.4,2.0,-0.33,0.31
A-10.1.2,0024,3.1,16.1,-0.33,0.31
A-10.1.2,0031,0.7,1.4,-0.33,0.31
A-10.1.2,0032,1.5,2.3,-0.33,0.31
A-10.1.2,0033,0.4,1.6,-0.33,0.29
A-10.1.2,0036,0.4,0.4,-0.08,0.06
A-10.1.3,0011,0.4,1.4,-0.31,0.33
A-10.1.3,0012,0.3,3.8,-0.31,0.33
A-10.1.3,0025,0.3,1.6,-0.31,0.33
A-10.1.3,0026,3.1,3.8,-0.31,0.33
A-10.1.3,0027,0.3,0.9,-0.31,0.33
A-10.1.3,0028,1.6,4.4,-0.31,0.33
A-10.1.3,0034,0.4,3.0,-0.30,0.30
A-10.1.4,0001,0.3,4.7,-0.31,0.34
A-10.1.4,0002,0.2,1.7,-0.31,0.34
A-10.1.4,0003,2.7,3.6,-0.31,0.34
A-10.1.4,0007,0.3,1.2,-0.31,0.34
A-10.1.4,0008,1.9,7.9,-0.31,0.34
A-10.1.4,0035,0.4,1.1,-0.31,0.31
A-10.2,0001_R,0.4,1.5,-0.31,0.35
A-10.2,0002,0.4,2.5,-0.31,0.35
A-10.2,0003,0.4,1.1,-0.31,0.35
A-10.2,0004,0.5,2.2,-0.31,0.35
A-10.2,0005,0.3,0.9,-0.31,0.35
A-10.2,0006,0.2,4.0,-0.31,0.35
A-10.2,0007,0.1,1.0,-0.31,0.35
A-10.2,0008,0.5,1.7,-0.31,0.35
A-10.2,0009,0.2,1.0,-0.31,0.35
A-10.2,0010,0.4,2.2,-0.31,0.35
A-10.2,0011,0.3,1.4,-0.31,0.35
